pool,backbone,skin,seed,cal,method,burden@5,ndcg@5,burden@10,ndcg@10,burden@20,ndcg@20,burden@50,ndcg@50
dense,NB,Combination,6,minmax,FAIR_prefix,9.0,0.9999999999999999,8.1,1.0,8.5,0.9298282790659782,9.24,0.9172774888566371
dense,NB,Combination,6,minmax,proposed,4.0,0.8304198973631918,4.1,0.8899541168509599,4.25,0.8607923160995892,4.32,0.7998265752126906
dense,NB,Combination,6,rank,relevance_only,9.0,0.9999999999999999,8.1,1.0,8.5,0.9298282790659782,9.24,0.9172774888566371
dense,NB,Combination,6,rank,hard_filter,9.0,0.9999999999999999,8.1,1.0,8.5,0.9298282790659782,9.24,0.9172774888566371
dense,NB,Combination,6,rank,proportional,4.4,0.8304198973631918,5.6,0.8899541168509599,5.85,0.9289799801831712,7.04,0.8743201054335566
dense,NB,Combination,6,rank,MMR,7.8,0.8304198973631918,8.3,0.8263333286520083,9.75,0.8544837094115687,9.1,0.8593994177207795
dense,NB,Combination,6,rank,FAIR_prefix,9.0,0.9999999999999999,8.1,1.0,8.5,0.9298282790659782,9.24,0.9172774888566371
dense,NB,Combination,6,rank,proposed,4.0,0.8304198973631918,4.1,0.8899541168509599,4.25,0.8611316791264372,4.36,0.7872969308778918
full,NB,Combination,6,minmax,relevance_only,2.2,0.8539316501572934,3.9,0.9052116356304493,2.45,0.938826684621968,2.8,0.935995687677946
full,NB,Combination,6,minmax,hard_filter,2.4,0.8539316501572934,1.2,0.9052116356304493,1.3,0.938826684621968,1.48,0.9056355775274441
full,NB,Combination,6,minmax,proportional,0.0,0.8304198973631918,0.0,0.8899541168509599,0.0,0.9289799801831712,0.32,0.9305793020843307
full,NB,Combination,6,minmax,MMR,1.4,0.9999999999999999,3.0,0.9363792118010483,1.85,0.920556582447728,2.78,0.8812932736042535
full,NB,Combination,6,minmax,FAIR_prefix,2.2,0.8539316501572934,2.7,0.9052116356304493,2.45,0.938826684621968,2.8,0.935995687677946
full,NB,Combination,6,minmax,proposed,0.0,0.8304198973631918,0.0,0.8899541168509599,0.0,0.9289799801831712,0.0,0.9612334964944959
full,NB,Combination,6,rank,relevance_only,2.2,0.8539316501572934,3.9,0.9052116356304493,2.45,0.938826684621968,2.8,0.935995687677946
full,NB,Combination,6,rank,hard_filter,2.4,0.8539316501572934,1.2,0.9052116356304493,1.3,0.938826684621968,1.48,0.9056355775274441
full,NB,Combination,6,rank,proportional,0.0,0.8304198973631918,0.0,0.8899541168509599,0.05,0.8966416890348514,0.6,0.9292930701135078
full,NB,Combination,6,rank,MMR,3.6,0.9999999999999999,3.4,0.9216017310213245,4.55,0.8451696238353785,3.76,0.8719885398526821
full,NB,Combination,6,rank,FAIR_prefix,2.2,0.8539316501572934,2.7,0.9052116356304493,2.45,0.938826684621968,2.8,0.935995687677946
full,NB,Combination,6,rank,proposed,0.0,0.8304198973631918,0.0,0.8899541168509599,0.0,0.9289799801831712,0.0,0.9612334964944959
dense,NB,Combination,7,minmax,relevance_only,8.4,0.9999999999999999,8.5,1.0,9.45,0.963643712011461,9.66,0.9180906243350759
dense,NB,Combination,7,minmax,hard_filter,8.4,0.9999999999999999,8.5,1.0,9.45,0.963643712011461,9.66,0.9180906243350759
dense,NB,Combination,7,minmax,proportional,4.4,0.8687949224876581,5.3,0.914856882358379,5.55,0.945051411928014,6.12,0.8457484846232076
dense,NB,Combination,7,minmax,MMR,7.8,0.8304198973631918,7.7,0.7529694065526481,7.8,0.7709294794036319,8.98,0.827517566740382
dense,NB,Combination,7,minmax,FAIR_prefix,8.4,0.9999999999999999,8.5,1.0,9.45,0.963643712011461,9.66,0.9180906243350759
dense,NB,Combination,7,minmax,proposed,3.6,0.8304198973631918,4.0,0.8899541168509599,4.35,0.8253707678644361,4.3,0.8123105121826444
dense,NB,Combination,7,rank,relevance_only,8.4,0.9999999999999999,8.5,1.0,9.45,0.963643712011461,9.66,0.9180906243350759
dense,NB,Combination,7,rank,hard_filter,8.4,0.9999999999999999,8.5,1.0,9.45,0.963643712011461,9.66,0.9180906243350759
dense,NB,Combination,7,rank,proportional,4.4,0.8304198973631918,5.4,0.8899541168509599,6.45,0.8966416890348514,7.16,0.8834598769404565
dense,NB,Combination,7,rank,MMR,7.8,0.8304198973631918,8.1,0.8263333286520083,8.6,0.816054902899329,8.86,0.8543886602711606
dense,NB,Combination,7,rank,FAIR_prefix,8.4,0.9999999999999999,8.5,1.0,9.45,0.963643712011461,9.66,0.9180906243350759
dense,NB,Combination,7,rank,proposed,3.6,0.8304198973631918,4.2,0.8899541168509599,4.35,0.8274204304787356,4.36,0.8135381400180628
full,NB,Combination,7,minmax,relevance_only,1.4,0.8687949224876581,1.7,0.914856882358379,2.7,0.945051411928014,3.38,0.9700061385844561
full,NB,Combination,7,minmax,hard_filter,0.0,0.8539316501572934,1.4,0.9052116356304493,1.35,0.938826684621968,1.2,0.9528707570346112
full,NB,Combination,7,minmax,proportional,0.0,0.8539316501572934,0.0,0.9052116356304493,0.0,0.938826684621968,0.22,0.9527258934637286
full,NB,Combination,7,minmax,MMR,1.8,0.9999999999999999,3.2,0.8643145546088338,2.1,0.9124330438832967,2.34,0.9228434618583478
full,NB,Combination,7,minmax,FAIR_prefix,1.4,0.8687949224876581,1.7,0.914856882358379,2.7,0.945051411928014,3.1,0.9700061385844561
full,NB,Combination,7,minmax,proposed,0.0,0.8539316501572934,0.0,0.9052116356304493,0.0,0.938826684621968,0.0,0.9666083514034186
full,NB,Combination,7,rank,relevance_only,1.4,0.8687949224876581,1.7,0.914856882358379,2.7,0.945051411928014,3.38,0.9700061385844561
full,NB,Combination,7,rank,hard_filter,0.0,0.8539316501572934,1.4,0.9052116356304493,1.35,0.938826684621968,1.2,0.9528707570346112
full,NB,Combination,7,rank,proportional,0.0,0.8539316501572934,0.0,0.9052116356304493,0.05,0.938826684621968,0.82,0.9527994442357098
full,NB,Combination,7,rank,MMR,1.6,0.9999999999999999,3.2,1.0,3.25,0.9603789329441843,2.86,0.9641710518238717
full,NB,Combination,7,rank,FAIR_prefix,1.4,0.8687949224876581,1.7,0.914856882358379,2.7,0.945051411928014,3.1,0.9700061385844561
full,NB,Combination,7,rank,proposed,0.0,0.8539316501572934,0.0,0.9052116356304493,0.0,0.938826684621968,0.0,0.9666083514034186
dense,NB,Combination,8,minmax,relevance_only,6.0,0.9999999999999999,8.9,1.0,9.35,0.9626932496335552,9.38,0.9312640744234649
dense,NB,Combination,8,minmax,hard_filter,6.0,0.9999999999999999,8.9,1.0,9.35,0.9626932496335552,9.38,0.9312640744234649
