skin,gamma,L1,L2,L3
Oily,0.5,2.14007825278071,1.1020820196853265,1.3838996588851646
Oily,1.0,1.9637781806875683,0.002843073206665907,1.5119173283235459
Oily,2.0,2.192074120023253,0.0,1.831351899215005
Oily,4.0,2.5437292785672003,0.0,2.1871432874438237
Oily,0.1,2.0808975588285747,1.5945591019774175,1.1187431685479756
Oily,0.3,2.122154513633892,1.7006969905002203,1.1524848302385577
Oily,0.5,2.1589934224823355,1.7974184845569336,1.181851751176399
Oily,1.0,2.2357021372908243,1.99775755576987,1.2416075093795542
Oily,2.0,2.3275153421991126,2.2488398066965605,1.322584091872275
Oily,4.0,0.0,1.6248762208856393,2.504949883926952
Oily,0.1,2.0932057580788674,1.4569334956112194,1.136089284401386
Oily,0.3,2.0430357976773346,0.9769013625561745,1.4336547925975398
Oily,0.5,1.977814578113553,0.5646918644778948,1.564671019694266
Oily,1.0,1.9005908041971054,0.0036361123398419874,1.7029617751647144
Oily,2.0,2.119126711907503,0.0,1.9936249129371892
Oily,4.0,2.487159438496633,0.0,2.3530009925224564
Oily,0.1,1.9549808169117315,1.5880394970416851,1.1174708070435588
Oily,0.3,1.9804279012149042,1.5705706346719797,1.3555619124678238
Oily,0.5,1.9870651366705703,1.543754071081588,1.5251284936907734
Oily,1.0,1.9174364247803082,1.3482868428766,1.7706688146535066
Oily,2.0,1.4441431973367838,0.0,1.9566646545322215
Oily,4.0,1.059839498392922,0.0,2.4306265472560966
Oily,0.1,1.848550531881805,1.1465968694165238,1.1239061466584417
Oily,0.3,1.8320651505277863,1.3031673040657126,1.3165741213840723
Oily,0.5,1.8007532016131946,1.4376480415364674,1.4734297275356552
Oily,1.0,1.6818580120114741,1.6986143934210407,1.7716019390597693
Oily,2.0,1.269656429883683,2.0086931669253625,2.2253336223160476
Oily,4.0,0.0,0.0,0.0
Oily,0.1,2.1704584072540647,1.633357015196494,0.8065565587276166
Oily,0.3,2.285067002920892,1.6790168211866028,0.6450494374745498
Oily,0.5,2.3649596945088702,1.7015694489371656,0.4839895503632668
Oily,1.0,1.4910012894890095,0.0,1.1388662188776282
Oily,2.0,0.8846020617902025,0.0,1.7084480952090497
Oily,4.0,0.3303884598704226,0.0,2.6799472052475717
Oily,0.1,2.0978949369696753,1.7435200158955946,1.1016394615279048
Oily,0.3,1.9548870457538532,1.2759211760565339,1.2008192535253222
Oily,0.5,1.756976294425722,0.5762934013633467,1.1165462532855315
Oily,1.0,1.6849107334978979,0.0,1.1875019760717447
Oily,2.0,1.7949823150030138,0.0,1.4470743962258614
Oily,4.0,1.9322939306953648,0.0,1.7962567841869674
Oily,0.1,2.107462731681951,1.8509968108952428,0.9577835143305795
Oily,0.3,2.1667776240853085,2.0449568712711628,1.0905645551069778
Oily,0.5,2.2138304808349694,2.1981331824311248,1.2176178985866264
Oily,1.0,2.2113676236536954,2.4402194688593792,1.5475008705376323
Oily,2.0,0.15165242826161407,1.5450746755828573,2.2692829480074
Oily,4.0,0.0,0.0,0.0
Oily,0.1,1.9407883617991815,1.6877202030855447,1.1266030305141466
Oily,0.3,1.8997352652644766,1.7150551324192915,1.4693919515130358
Oily,0.5,1.8629170819974556,1.7439200956895817,1.6887341301977052
Oily,1.0,1.7873099599674214,1.80409419558419,2.0270423543383838
Oily,2.0,1.670203990441397,1.8709733188945463,2.389623854341483
Oily,4.0,1.4211538681471803,1.8569932503734286,2.7505936934918527
Oily,0.1,1.924913773511977,1.1319298186357505,1.2476475500134987
Oily,0.3,1.871746009886529,1.0682027979369315,1.429535009750443
Oily,0.5,1.7928567409246416,0.996687397339726,1.5827886205883597
Oily,1.0,1.4759661805364563,0.7167319930669325,1.8993828725375708
